K01545.01,,1053.0
K01545.01,,1053.0
K01545.01,,1053.0
K01545.01,,1053.0
K01545.01,,1053.0
K01545.01,,1053.0
K01545.01,,1053.0
K02756.02,,1053.0
K02756.02,,1053.0
K02756.02,,1053.0
K02756.02,,1053.0
K02756.02,,1053.0
K02756.02,,1053.0
K02756.02,,1053.0
K02756.02,,1053.0
K02756.02,,1053.0
K02756.02,,1053.0
K02756.02,,1053.0
K02756.02,,1053.0
K02756.02,,1053.0
K06712.01,,1053.0
K06712.01,,1053.0
K06712.01,,1053.0
K06712.01,,1053.0
K06712.01,,1053.0
K06712.01,,1053.0
K06712.01,,1053.0
K06712.01,,1053.0
K06712.01,,1053.0
K06712.01,,1053.0
K06712.01,,1053.0
K06712.01,,1053.0
K06712.01,,1053.0
K07486.01,,1053.0
K07486.01,,1053.0
K07486.01,,1053.0
K07486.01,,1053.0
K07486.01,,1053.0
K07486.01,,1053.0
K07486.01,,1053.0
K07486.01,,1053.0
K07486.01,,1053.0
K07486.01,,1053.0
K07486.01,,1053.0
K07486.01,,1053.0
K07486.01,,1053.0
K00500.05,Kepler-80 f,1054.0
K00500.05,Kepler-80 f,1054.0
K00500.05,Kepler-80 f,1054.0
K00500.05,Kepler-80 f,1054.0
K00500.05,Kepler-80 f,1054.0
K00500.05,Kepler-80 f,1054.0
K00500.05,Kepler-80 f,1054.0
K00500.05,Kepler-80 f,1054.0
K00500.05,Kepler-80 f,1054.0
K00500.05,Kepler-80 f,1054.0
K00500.05,Kepler-80 f,1054.0
K00500.05,Kepler-80 f,1054.0
K00500.05,Kepler-80 f,1054.0
K01434.01,Kepler-847 b,1054.0
K01434.01,Kepler-847 b,1054.0
K01434.01,Kepler-847 b,1054.0
K01434.01,Kepler-847 b,1054.0
K01434.01,Kepler-847 b,1054.0
K01434.01,Kepler-847 b,1054.0
K01434.01,Kepler-847 b,1054.0
K01434.01,Kepler-847 b,1054.0
K01434.01,Kepler-847 b,1054.0
K01434.01,Kepler-847 b,1054.0
K01434.01,Kepler-847 b,1054.0
K01434.01,Kepler-847 b,1054.0
K01434.01,Kepler-847 b,1054.0
K02148.02,Kepler-363 c,1054.0
K02148.02,Kepler-363 c,1054.0
K02148.02,Kepler-363 c,1054.0
K02148.02,Kepler-363 c,1054.0
K02148.02,Kepler-363 c,1054.0
K02148.02,Kepler-363 c,1054.0
K02148.02,Kepler-363 c,1054.0
K02148.02,Kepler-363 c,1054.0
K02148.02,Kepler-363 c,1054.0
K02148.02,Kepler-363 c,1054.0
K02148.02,Kepler-363 c,1054.0
K02148.02,Kepler-363 c,1054.0
K02148.02,Kepler-363 c,1054.0
K02218.01,Kepler-373 b,1054.0
K02218.01,Kepler-373 b,1054.0
K02218.01,Kepler-373 b,1054.0
K02218.01,Kepler-373 b,1054.0
K02218.01,Kepler-373 b,1054.0
K02218.01,Kepler-373 b,1054.0
K02218.01,Kepler-373 b,1054.0
K02218.01,Kepler-373 b,1054.0
K02218.01,Kepler-373 b,1054.0
K02218.01,Kepler-373 b,1054.0
K02218.01,Kepler-373 b,1054.0
K02218.01,Kepler-373 b,1054.0
K02218.01,Kepler-373 b,1054.0
K03103.01,,1054.0
K03103.01,,1054.0
K03103.01,,1054.0
K03103.01,,1054.0
K03103.01,,1054.0
K03103.01,,1054.0
K03103.01,,1054.0
K03103.01,,1054.0
K03103.01,,1054.0
K03103.01,,1054.0
K03103.01,,1054.0
K03103.01,,1054.0
K03103.01,,1054.0
K06693.01,,1054.0
K06693.01,,1054.0
K06693.01,,1054.0
K06693.01,,1054.0
K06693.01,,1054.0
K06693.01,,1054.0
K06693.01,,1054.0
K06693.01,,1054.0
K06693.01,,1054.0
K06693.01,,1054.0
K06693.01,,1054.0
K06693.01,,1054.0
K06693.01,,1054.0
K00410.01,,1055.0
K00410.01,,1055.0
K00410.01,,1055.0
K00410.01,,1055.0
K00410.01,,1055.0
K00410.01,,1055.0
K00410.01,,1055.0
K00410.01,,1055.0
K00410.01,,1055.0
K00410.01,,1055.0
K00410.01,,1055.0
K00410.01,,1055.0
K00410.01,,1055.0
K02567.01,,1055.0
K02567.01,,1055.0
K02567.01,,1055.0
K02567.01,,1055.0
K02567.01,,1055.0
K02567.01,,1055.0
K02567.01,,1055.0
K02567.01,,1055.0
K02567.01,,1055.0
K02567.01,,1055.0
K02567.01,,1055.0
K02567.01,,1055.0
K02567.01,,1055.0
K00535.01,Kepler-590 b,1056.0
K00535.01,Kepler-590 b,1056.0
K00535.01,Kepler-590 b,1056.0
K00535.01,Kepler-590 b,1056.0
K00535.01,Kepler-590 b,1056.0
K00535.01,Kepler-590 b,1056.0
K00535.01,Kepler-590 b,1056.0
K00535.01,Kepler-590 b,1056.0
K00535.01,Kepler-590 b,1056.0
K00535.01,Kepler-590 b,1056.0
K00535.01,Kepler-590 b,1056.0
K00535.01,Kepler-590 b,1056.0
K00535.01,Kepler-590 b,1056.0
K01802.01,Kepler-956 b,1056.0
K01802.01,Kepler-956 b,1056.0
K01802.01,Kepler-956 b,1056.0
K01802.01,Kepler-956 b,1056.0
K01802.01,Kepler-956 b,1056.0
K01802.01,Kepler-956 b,1056.0
K01802.01,Kepler-956 b,1056.0
K01802.01,Kepler-956 b,1056.0
K01802.01,Kepler-956 b,1056.0
K01802.01,Kepler-956 b,1056.0
K01802.01,Kepler-956 b,1056.0
K01802.01,Kepler-956 b,1056.0
K01802.01,Kepler-956 b,1056.0
K02333.02,Kepler-380 c,1056.0
K02333.02,Kepler-380 c,1056.0
K02333.02,Kepler-380 c,1056.0
K02333.02,Kepler-380 c,1056.0
K02333.02,Kepler-380 c,1056.0
K02333.02,Kepler-380 c,1056.0
K02333.02,Kepler-380 c,1056.0
K02333.02,Kepler-380 c,1056.0
K02333.02,Kepler-380 c,1056.0
K02333.02,Kepler-380 c,1056.0
K02333.02,Kepler-380 c,1056.0
K02333.02,Kepler-380 c,1056.0
K02333.02,Kepler-380 c,1056.0
K06692.01,,1056.0
K06692.01,,1056.0
K06692.01,,1056.0
K06692.01,,1056.0
K06692.01,,1056.0
K06692.01,,1056.0
K06692.01,,1056.0
K06692.01,,1056.0
K06692.01,,1056.0
K06692.01,,1056.0
K06692.01,,1056.0
K06692.01,,1056.0
K06692.01,,1056.0
K01459.01,,1057.0
K01459.01,,1057.0
K01459.01,,1057.0
K01459.01,,1057.0
K01459.01,,1057.0
K01459.01,,1057.0
K01459.01,,1057.0
K01459.01,,1057.0
K01459.01,,1057.0
K01459.01,,1057.0
K01459.01,,1057.0
K01459.01,,1057.0
K01459.01,,1057.0
K04323.01,,1057.0
K04323.01,,1057.0
K04323.01,,1057.0
K04323.01,,1057.0
K04323.01,,1057.0
K04323.01,,1057.0
K04323.01,,1057.0
K04323.01,,1057.0
K04323.01,,1057.0
K04323.01,,1057.0
K04323.01,,1057.0
K04323.01,,1057.0
K04323.01,,1057.0
K05708.01,,1057.0
K05708.01,,1057.0
K05708.01,,1057.0
K05708.01,,1057.0
K05708.01,,1057.0
K05708.01,,1057.0
K05708.01,,1057.0
K05708.01,,1057.0
K05708.01,,1057.0
K05708.01,,1057.0
K05708.01,,1057.0
K05708.01,,1057.0
K05708.01,,1057.0
K06131.01,,1057.0
K06131.01,,1057.0
K06131.01,,1057.0
K06131.01,,1057.0
K06131.01,,1057.0
K06131.01,,1057.0
K06131.01,,1057.0
K06131.01,,1057.0
K06131.01,,1057.0
K06131.01,,1057.0
K06131.01,,1057.0
K06131.01,,1057.0
K06131.01,,1057.0
K07937.01,,1057.0
K07937.01,,1057.0
K07937.01,,1057.0
K07937.01,,1057.0
K07937.01,,1057.0
K07937.01,,1057.0
K07937.01,,1057.0
K07937.01,,1057.0
K07937.01,,1057.0
K07937.01,,1057.0
K07937.01,,1057.0
K07937.01,,1057.0
K07937.01,,1057.0
K00649.02,,1058.0
K00649.02,,1058.0
K00649.02,,1058.0
K00649.02,,1058.0
K00649.02,,1058.0
K00649.02,,1058.0
K00649.02,,1058.0
K00649.02,,1058.0
K00649.02,,1058.0
K00649.02,,1058.0
K00649.02,,1058.0
K00649.02,,1058.0
K00649.02,,1058.0
K01998.01,Kepler-1044 b,1058.0
K01998.01,Kepler-1044 b,1058.0
K01998.01,Kepler-1044 b,1058.0
K01998.01,Kepler-1044 b,1058.0
K01998.01,Kepler-1044 b,1058.0
K01998.01,Kepler-1044 b,1058.0
K01998.01,Kepler-1044 b,1058.0
K01998.01,Kepler-1044 b,1058.0
K01998.01,Kepler-1044 b,1058.0
K01998.01,Kepler-1044 b,1058.0
K01998.01,Kepler-1044 b,1058.0
K01998.01,Kepler-1044 b,1058.0
K01998.01,Kepler-1044 b,1058.0
K04004.01,,1058.0
K04004.01,,1058.0
K04004.01,,1058.0
K04004.01,,1058.0
K04004.01,,1058.0
K04004.01,,1058.0
K04004.01,,1058.0
K04004.01,,1058.0
K04004.01,,1058.0
K04004.01,,1058.0
K04004.01,,1058.0
K04004.01,,1058.0
K04004.01,,1058.0
K04612.01,,1058.0
K04612.01,,1058.0
K04612.01,,1058.0
K04612.01,,1058.0
K04612.01,,1058.0
K04612.01,,1058.0
K04612.01,,1058.0
K04612.01,,1058.0
K04612.01,,1058.0
K04612.01,,1058.0
K04612.01,,1058.0
K04612.01,,1058.0
K04612.01,,1058.0
K06132.03,,1058.0
K06132.03,,1058.0
K06132.03,,1058.0
K06132.03,,1058.0
K06132.03,,1058.0
K06132.03,,1058.0
K06132.03,,1058.0
K06132.03,,1058.0
K06132.03,,1058.0
K06132.03,,1058.0
K06132.03,,1058.0
K06132.03,,1058.0
K06132.03,,1058.0
K00360.01,,1059.0
K00360.01,,1059.0
K00360.01,,1059.0
K00360.01,,1059.0
K00360.01,,1059.0
K00360.01,,1059.0
K00360.01,,1059.0
K00360.01,,1059.0
K00360.01,,1059.0
K00360.01,,1059.0
K00360.01,,1059.0
K00360.01,,1059.0
K00360.01,,1059.0
K00997.01,,1059.0
K00997.01,,1059.0
K00997.01,,1059.0
K00997.01,,1059.0
K00997.01,,1059.0
K00997.01,,1059.0
K00997.01,,1059.0
K00997.01,,1059.0
K00997.01,,1059.0
K00997.01,,1059.0
K00997.01,,1059.0
K00997.01,,1059.0
K00997.01,,1059.0
K01254.01,,1059.0
K01254.01,,1059.0
K01254.01,,1059.0
K01254.01,,1059.0
K01254.01,,1059.0
K01254.01,,1059.0
K01254.01,,1059.0
K01254.01,,1059.0
K01254.01,,1059.0
K01254.01,,1059.0
K01254.01,,1059.0
K01254.01,,1059.0
K01254.01,,1059.0
K02248.01,,1059.0
K02248.01,,1059.0
K02248.01,,1059.0
K02248.01,,1059.0
K02248.01,,1059.0
K02248.01,,1059.0
K02248.01,,1059.0
K02248.01,,1059.0
K02248.01,,1059.0
K02248.01,,1059.0
K02248.01,,1059.0
K02248.01,,1059.0
K02248.01,,1059.0
K02871.02,,1059.0
K02871.02,,1059.0
K02871.02,,1059.0
K02871.02,,1059.0
K02871.02,,1059.0
K02871.02,,1059.0
K02871.02,,1059.0
K02871.02,,1059.0
K02871.02,,1059.0
K02871.02,,1059.0
K02871.02,,1059.0
K02871.02,,1059.0
K02871.02,,1059.0
K04246.01,Kepler-1576 b,1059.0
K04246.01,Kepler-1576 b,1059.0
K04246.01,Kepler-1576 b,1059.0
K04246.01,Kepler-1576 b,1059.0
K04246.01,Kepler-1576 b,1059.0
K04246.01,Kepler-1576 b,1059.0
K04246.01,Kepler-1576 b,1059.0
K04246.01,Kepler-1576 b,1059.0
K04246.01,Kepler-1576 b,1059.0
K04246.01,Kepler-1576 b,1059.0
K04246.01,Kepler-1576 b,1059.0
K04246.01,Kepler-1576 b,1059.0
K04246.01,Kepler-1576 b,1059.0
K04909.01,,1059.0
K04909.01,,1059.0
K04909.01,,1059.0
K04909.01,,1059.0
K04909.01,,1059.0
K04909.01,,1059.0
K04909.01,,1059.0
K04909.01,,1059.0
K04909.01,,1059.0
K04909.01,,1059.0
K04909.01,,1059.0
K04909.01,,1059.0
K04909.01,,1059.0
K06347.01,,1059.0
K06347.01,,1059.0
K06347.01,,1059.0
K06347.01,,1059.0
K06347.01,,1059.0
K06347.01,,1059.0
K06347.01,,1059.0
K06347.01,,1059.0
K06347.01,,1059.0
K06347.01,,1059.0
K06347.01,,1059.0
K06347.01,,1059.0
K06347.01,,1059.0
K06684.01,,1059.0
K06684.01,,1059.0
K06684.01,,1059.0
K06684.01,,1059.0
K06684.01,,1059.0
K06684.01,,1059.0
K06684.01,,1059.0
K06684.01,,1059.0
K06684.01,,1059.0
K06684.01,,1059.0
K06684.01,,1059.0
K06684.01,,1059.0
K06684.01,,1059.0
K00136.01,,1060.0
K00136.01,,1060.0
K00136.01,,1060.0
K00136.01,,1060.0
K00136.01,,1060.0
K00136.01,,1060.0
K00136.01,,1060.0
K00136.01,,1060.0
K00136.01,,1060.0
K00136.01,,1060.0
K00136.01,,1060.0
K00136.01,,1060.0
K00136.01,,1060.0
K00692.02,Kepler-213 c,1060.0
K00692.02,Kepler-213 c,1060.0
K00692.02,Kepler-213 c,1060.0
K00692.02,Kepler-213 c,1060.0
K00692.02,Kepler-213 c,1060.0
K00692.02,Kepler-213 c,1060.0
K00692.02,Kepler-213 c,1060.0
K00692.02,Kepler-213 c,1060.0
K00692.02,Kepler-213 c,1060.0
K00692.02,Kepler-213 c,1060.0
K00692.02,Kepler-213 c,1060.0
K00692.02,Kepler-213 c,1060.0
K00692.02,Kepler-213 c,1060.0
K01840.01,Kepler-972 b,1060.0
K01840.01,Kepler-972 b,1060.0
K01840.01,Kepler-972 b,1060.0
K01840.01,Kepler-972 b,1060.0
K01840.01,Kepler-972 b,1060.0
K01840.01,Kepler-972 b,1060.0
K01840.01,Kepler-972 b,1060.0
K01840.01,Kepler-972 b,1060.0
K01840.01,Kepler-972 b,1060.0
K01840.01,Kepler-972 b,1060.0
K01840.01,Kepler-972 b,1060.0
K01840.01,Kepler-972 b,1060.0
K01840.01,Kepler-972 b,1060.0
K02135.03,Kepler-361 b,1060.0
K02135.03,Kepler-361 b,1060.0
K02135.03,Kepler-361 b,1060.0
K02135.03,Kepler-361 b,1060.0
K02135.03,Kepler-361 b,1060.0
K02135.03,Kepler-361 b,1060.0
K02135.03,Kepler-361 b,1060.0
K02135.03,Kepler-361 b,1060.0
K02135.03,Kepler-361 b,1060.0
K02135.03,Kepler-361 b,1060.0
K02135.03,Kepler-361 b,1060.0
K02135.03,Kepler-361 b,1060.0
K02135.03,Kepler-361 b,1060.0
K04251.01,,1060.0
K04251.01,,1060.0
K04251.01,,1060.0
K04251.01,,1060.0
K04251.01,,1060.0
K04251.01,,1060.0
K04251.01,,1060.0
K04251.01,,1060.0
K04251.01,,1060.0
K04251.01,,1060.0
K04251.01,,1060.0
K04251.01,,1060.0
K04251.01,,1060.0
K07026.01,,1060.0
K07026.01,,1060.0
K07026.01,,1060.0
K07026.01,,1060.0
K07026.01,,1060.0
K07026.01,,1060.0
K07026.01,,1060.0
K07026.01,,1060.0
K07026.01,,1060.0
K07026.01,,1060.0
K07026.01,,1060.0
K07026.01,,1060.0
K07026.01,,1060.0
K07925.01,,1060.0
K07925.01,,1060.0
K07925.01,,1060.0
K07925.01,,1060.0
K07925.01,,1060.0
K07925.01,,1060.0
K07925.01,,1060.0
K07925.01,,1060.0
K07925.01,,1060.0
K07925.01,,1060.0
K07925.01,,1060.0
K07925.01,,1060.0
K07925.01,,1060.0
K02155.01,Kepler-1123 b,1061.0
K02155.01,Kepler-1123 b,1061.0
K02155.01,Kepler-1123 b,1061.0
K02155.01,Kepler-1123 b,1061.0
K02155.01,Kepler-1123 b,1061.0
K02155.01,Kepler-1123 b,1061.0
K02155.01,Kepler-1123 b,1061.0
K02155.01,Kepler-1123 b,1061.0
K02155.01,Kepler-1123 b,1061.0
K02155.01,Kepler-1123 b,1061.0
K02155.01,Kepler-1123 b,1061.0
K02155.01,Kepler-1123 b,1061.0
K02155.01,Kepler-1123 b,1061.0
K02832.01,Kepler-1361 b,1061.0
K02832.01,Kepler-1361 b,1061.0
K02832.01,Kepler-1361 b,1061.0
K02832.01,Kepler-1361 b,1061.0
K02832.01,Kepler-1361 b,1061.0
K02832.01,Kepler-1361 b,1061.0
K02832.01,Kepler-1361 b,1061.0
K02832.01,Kepler-1361 b,1061.0
K02832.01,Kepler-1361 b,1061.0
K02832.01,Kepler-1361 b,1061.0
K02832.01,Kepler-1361 b,1061.0
K02832.01,Kepler-1361 b,1061.0
K02832.01,Kepler-1361 b,1061.0
K03586.01,,1061.0
K03586.01,,1061.0
K03586.01,,1061.0
K03586.01,,1061.0
K03586.01,,1061.0
K03586.01,,1061.0
K03586.01,,1061.0
K03586.01,,1061.0
K03586.01,,1061.0
K03586.01,,1061.0
K03586.01,,1061.0
K03586.01,,1061.0
K03586.01,,1061.0
K04376.01,,1061.0
K04376.01,,1061.0
K04376.01,,1061.0
K04376.01,,1061.0
K04376.01,,1061.0
K04376.01,,1061.0
K04376.01,,1061.0
K04376.01,,1061.0
K04376.01,,1061.0
K04376.01,,1061.0
K04376.01,,1061.0
K04376.01,,1061.0
K04376.01,,1061.0
K04377.01,,1061.0
K04377.01,,1061.0
K04377.01,,1061.0
K04377.01,,1061.0
K04377.01,,1061.0
K04377.01,,1061.0
K04377.01,,1061.0
K04377.01,,1061.0
K04377.01,,1061.0
K04377.01,,1061.0
K04377.01,,1061.0
K04377.01,,1061.0
K04377.01,,1061.0
K08177.01,,1061.0
K08177.01,,1061.0
K08177.01,,1061.0
K08177.01,,1061.0
K08177.01,,1061.0
K08177.01,,1061.0
K08177.01,,1061.0
K08177.01,,1061.0
K08177.01,,1061.0
K08177.01,,1061.0
K08177.01,,1061.0
K08177.01,,1061.0
K08177.01,,1061.0
K00351.06,Kepler-90 b,1062.0
K00351.06,Kepler-90 b,1062.0
K00351.06,Kepler-90 b,1062.0
K00351.06,Kepler-90 b,1062.0
K00351.06,Kepler-90 b,1062.0
K00351.06,Kepler-90 b,1062.0
K00351.06,Kepler-90 b,1062.0
K00351.06,Kepler-90 b,1062.0
K00351.06,Kepler-90 b,1062.0
K00351.06,Kepler-90 b,1062.0
K00351.06,Kepler-90 b,1062.0
K00351.06,Kepler-90 b,1062.0
K00351.06,Kepler-90 b,1062.0
K00929.01,Kepler-730 b,1062.0
K00929.01,Kepler-730 b,1062.0
K00929.01,Kepler-730 b,1062.0
K00929.01,Kepler-730 b,1062.0
K00929.01,Kepler-730 b,1062.0
K00929.01,Kepler-730 b,1062.0
K00929.01,Kepler-730 b,1062.0
K00929.01,Kepler-730 b,1062.0
K00929.01,Kepler-730 b,1062.0
K00929.01,Kepler-730 b,1062.0
K00929.01,Kepler-730 b,1062.0
K00929.01,Kepler-730 b,1062.0
K00929.01,Kepler-730 b,1062.0
K02983.01,,1062.0
K02983.01,,1062.0
K02983.01,,1062.0
K02983.01,,1062.0
K02983.01,,1062.0
K02983.01,,1062.0
K02983.01,,1062.0
K02983.01,,1062.0
K02983.01,,1062.0
K02983.01,,1062.0
K02983.01,,1062.0
K02983.01,,1062.0
K02983.01,,1062.0
K03637.01,,1062.0
K03637.01,,1062.0
K03637.01,,1062.0
K03637.01,,1062.0
K03637.01,,1062.0
K03637.01,,1062.0
K03637.01,,1062.0
K03637.01,,1062.0
K03637.01,,1062.0
K03637.01,,1062.0
K03637.01,,1062.0
K03637.01,,1062.0
K03637.01,,1062.0
K06049.01,,1062.0
K06049.01,,1062.0
K06049.01,,1062.0
K06049.01,,1062.0
K06049.01,,1062.0
K06049.01,,1062.0
K06049.01,,1062.0
K06049.01,,1062.0
K06049.01,,1062.0
K06049.01,,1062.0
K06049.01,,1062.0
K06049.01,,1062.0
K06049.01,,1062.0
K06537.01,,1062.0
K06537.01,,1062.0
K06537.01,,1062.0
K06537.01,,1062.0
K06537.01,,1062.0
K06537.01,,1062.0
K06537.01,,1062.0
K06537.01,,1062.0
K06537.01,,1062.0
K06537.01,,1062.0
K06537.01,,1062.0
K06537.01,,1062.0
K06537.01,,1062.0
K00472.01,Kepler-565 b,1063.0
K00472.01,Kepler-565 b,1063.0
K00472.01,Kepler-565 b,1063.0
K00472.01,Kepler-565 b,1063.0
K00472.01,Kepler-565 b,1063.0
K00472.01,Kepler-565 b,1063.0
K00472.01,Kepler-565 b,1063.0
K00472.01,Kepler-565 b,1063.0
K00472.01,Kepler-565 b,1063.0
K00472.01,Kepler-565 b,1063.0
K00472.01,Kepler-565 b,1063.0
K00472.01,Kepler-565 b,1063.0
K00472.01,Kepler-565 b,1063.0
K02121.01,Kepler-1108 b,1063.0
K02121.01,Kepler-1108 b,1063.0
K02121.01,Kepler-1108 b,1063.0
K02121.01,Kepler-1108 b,1063.0
K02121.01,Kepler-1108 b,1063.0
K02121.01,Kepler-1108 b,1063.0
K02121.01,Kepler-1108 b,1063.0
K02121.01,Kepler-1108 b,1063.0
K02121.01,Kepler-1108 b,1063.0
K02121.01,Kepler-1108 b,1063.0
K02121.01,Kepler-1108 b,1063.0
K02121.01,Kepler-1108 b,1063.0
K02121.01,Kepler-1108 b,1063.0
K02822.01,,1063.0
K02822.01,,1063.0
K02822.01,,1063.0
K02822.01,,1063.0
K02822.01,,1063.0
K02822.01,,1063.0
K02822.01,,1063.0
K02822.01,,1063.0
K02822.01,,1063.0
K02822.01,,1063.0
K02822.01,,1063.0
K02822.01,,1063.0
K02822.01,,1063.0
K04442.01,,1063.0
K04442.01,,1063.0
K04442.01,,1063.0
K04442.01,,1063.0
K04442.01,,1063.0
K04442.01,,1063.0
K04442.01,,1063.0
K04442.01,,1063.0
K04442.01,,1063.0
K04442.01,,1063.0
K04442.01,,1063.0
K04442.01,,1063.0
K04442.01,,1063.0
K00052.01,,1064.0
K00052.01,,1064.0
K00052.01,,1064.0
K00052.01,,1064.0
K00052.01,,1064.0
K00052.01,,1064.0
K00052.01,,1064.0
K00052.01,,1064.0
K00052.01,,1064.0
K00052.01,,1064.0
K00052.01,,1064.0
K00052.01,,1064.0
K00052.01,,1064.0
K02963.02,,1064.0
K02963.02,,1064.0
K02963.02,,1064.0
K02963.02,,1064.0
K02963.02,,1064.0
K02963.02,,1064.0
K02963.02,,1064.0
K02963.02,,1064.0
K02963.02,,1064.0
K02963.02,,1064.0
K02963.02,,1064.0
K02963.02,,1064.0
K02963.02,,1064.0
K03115.01,Kepler-1431 b,1064.0
K03115.01,Kepler-1431 b,1064.0
K03115.01,Kepler-1431 b,1064.0
K03115.01,Kepler-1431 b,1064.0
K03115.01,Kepler-1431 b,1064.0
K03115.01,Kepler-1431 b,1064.0
K03115.01,Kepler-1431 b,1064.0
K03115.01,Kepler-1431 b,1064.0
K03115.01,Kepler-1431 b,1064.0
K03115.01,Kepler-1431 b,1064.0
K03115.01,Kepler-1431 b,1064.0
K03115.01,Kepler-1431 b,1064.0
K03115.01,Kepler-1431 b,1064.0
K03505.01,,1064.0
K03505.01,,1064.0
K03505.01,,1064.0
K03505.01,,1064.0
K03505.01,,1064.0
K03505.01,,1064.0
K03505.01,,1064.0
K03505.01,,1064.0
K03505.01,,1064.0
K03505.01,,1064.0
K03505.01,,1064.0
K03505.01,,1064.0
K03505.01,,1064.0
K03661.01,,1064.0
K03661.01,,1064.0
K03661.01,,1064.0
K03661.01,,1064.0
K03661.01,,1064.0
K03661.01,,1064.0
K03661.01,,1064.0
K03661.01,,1064.0
K03661.01,,1064.0
K03661.01,,1064.0
K03661.01,,1064.0
K03661.01,,1064.0
K03661.01,,1064.0
K04300.01,Kepler-1585 b,1064.0
K04300.01,Kepler-1585 b,1064.0
K04300.01,Kepler-1585 b,1064.0
K04300.01,Kepler-1585 b,1064.0
K04300.01,Kepler-1585 b,1064.0
K04300.01,Kepler-1585 b,1064.0
K04300.01,Kepler-1585 b,1064.0
K04300.01,Kepler-1585 b,1064.0
K04300.01,Kepler-1585 b,1064.0
K04300.01,Kepler-1585 b,1064.0
K04300.01,Kepler-1585 b,1064.0
K04300.01,Kepler-1585 b,1064.0
K04300.01,Kepler-1585 b,1064.0
K05384.01,,1064.0
K05384.01,,1064.0
K05384.01,,1064.0
K05384.01,,1064.0
K05384.01,,1064.0
K05384.01,,1064.0
K05384.01,,1064.0
K05384.01,,1064.0
K05384.01,,1064.0
K05384.01,,1064.0
K05384.01,,1064.0
K05384.01,,1064.0
K05384.01,,1064.0
K02610.01,,1065.0
K02610.01,,1065.0
K02610.01,,1065.0
K02610.01,,1065.0
K02610.01,,1065.0
K02610.01,,1065.0
K02610.01,,1065.0
K02610.01,,1065.0
K02610.01,,1065.0
K02610.01,,1065.0
K02610.01,,1065.0
K02610.01,,1065.0
K02610.01,,1065.0
K04032.04,Kepler-1542 e,1065.0
K04032.04,Kepler-1542 e,1065.0
K04032.04,Kepler-1542 e,1065.0
K04032.04,Kepler-1542 e,1065.0
K04032.04,Kepler-1542 e,1065.0
K04032.04,Kepler-1542 e,1065.0
K04032.04,Kepler-1542 e,1065.0
K04032.04,Kepler-1542 e,1065.0
K04032.04,Kepler-1542 e,1065.0
K04032.04,Kepler-1542 e,1065.0
K04032.04,Kepler-1542 e,1065.0
K04032.04,Kepler-1542 e,1065.0
K04032.04,Kepler-1542 e,1065.0
K04891.01,,1065.0
K04891.01,,1065.0
K04891.01,,1065.0
K04891.01,,1065.0
K04891.01,,1065.0
K04891.01,,1065.0
K04891.01,,1065.0
K04891.01,,1065.0
K04891.01,,1065.0
K04891.01,,1065.0
K04891.01,,1065.0
K04891.01,,1065.0
K04891.01,,1065.0
K07849.01,,1065.0
K07849.01,,1065.0
K07849.01,,1065.0
K07849.01,,1065.0
K07849.01,,1065.0
K07849.01,,1065.0
K07849.01,,1065.0
K07849.01,,1065.0
K07849.01,,1065.0
K07849.01,,1065.0
K07849.01,,1065.0
K07849.01,,1065.0
K07849.01,,1065.0
K00748.01,,1066.0
K00748.01,,1066.0
K00748.01,,1066.0
K00748.01,,1066.0
K00748.01,,1066.0
K00748.01,,1066.0
K00748.01,,1066.0
K00748.01,,1066.0
K00748.01,,1066.0
K00748.01,,1066.0
K00748.01,,1066.0
K00748.01,,1066.0
K00748.01,,1066.0
K01070.01,Kepler-266 b,1066.0
K01070.01,Kepler-266 b,1066.0
K01070.01,Kepler-266 b,1066.0
K01070.01,Kepler-266 b,1066.0
K01070.01,Kepler-266 b,1066.0
K01070.01,Kepler-266 b,1066.0
K01070.01,Kepler-266 b,1066.0
K01070.01,Kepler-266 b,1066.0
K01070.01,Kepler-266 b,1066.0
K01070.01,Kepler-266 b,1066.0
K01070.01,Kepler-266 b,1066.0
K01070.01,Kepler-266 b,1066.0
K01070.01,Kepler-266 b,1066.0
K04882.01,,1066.0
K04882.01,,1066.0
K04882.01,,1066.0
K04882.01,,1066.0
K04882.01,,1066.0
K04882.01,,1066.0
K04882.01,,1066.0
K04882.01,,1066.0
K04882.01,,1066.0
K04882.01,,1066.0
K04882.01,,1066.0
K04882.01,,1066.0
K04882.01,,1066.0
K01392.01,,1067.0
K01392.01,,1067.0
K01392.01,,1067.0
K01392.01,,1067.0
K01392.01,,1067.0
K01392.01,,1067.0
K01392.01,,1067.0
K01392.01,,1067.0
K01392.01,,1067.0
K01392.01,,1067.0
K01392.01,,1067.0
K01392.01,,1067.0
K01392.01,,1067.0
K03395.02,,1067.0
K03395.02,,1067.0
K03395.02,,1067.0
K03395.02,,1067.0
K03395.02,,1067.0
K03395.02,,1067.0
K03395.02,,1067.0
K03395.02,,1067.0
K03395.02,,1067.0
K03395.02,,1067.0
K03395.02,,1067.0
K03395.02,,1067.0
K03395.02,,1067.0
K04341.01,,1067.0
K04341.01,,1067.0
K04341.01,,1067.0
K04341.01,,1067.0
K04341.01,,1067.0
K04341.01,,1067.0
K04341.01,,1067.0
K04341.01,,1067.0
K04341.01,,1067.0
K04341.01,,1067.0
K04341.01,,1067.0
